level_0,index,mep_id,last_name,first_name_y,gender,country,term_number,year,group,position,section,description,ep_president,ep_vp,ep_quaestor
433,34064,35135,DALTON,Daniel,man,United Kingdom,8,2017.0,European Conservatives and Reformists Group,Member,Member,Delegation to the Euro-Latin American Parliamentary Assembly,0,0,0
437,38416,124708,CHARANZOVA,Dita,woman,Czechia,8,2016.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Member,Committee of Inquiry into Emission Measurements in the Automotive Sector,0,0,0
438,38417,124708,CHARANZOVA,Dita,woman,Czechia,8,2017.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Member,Committee of Inquiry into Emission Measurements in the Automotive Sector,0,0,0
441,38420,124708,CHARANZOVA,Dita,woman,Czechia,8,2016.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Substitute,Committee on International Trade,0,0,0
442,38421,124708,CHARANZOVA,Dita,woman,Czechia,8,2017.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Substitute,Committee on International Trade,0,0,0
453,38432,124708,CHARANZOVA,Dita,woman,Czechia,8,2016.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Member,Committee on the Internal Market and Consumer Protection,0,0,0
454,38433,124708,CHARANZOVA,Dita,woman,Czechia,8,2017.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Vice Chair,Committee on the Internal Market and Consumer Protection,0,0,0
465,38444,124708,CHARANZOVA,Dita,woman,Czechia,8,2016.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Member,Delegation for relations with Mercosur,0,0,0
466,38445,124708,CHARANZOVA,Dita,woman,Czechia,8,2017.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Member,Delegation for relations with Mercosur,0,0,0
483,38462,124708,CHARANZOVA,Dita,woman,Czechia,8,2016.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Member,Delegation to the Cariforum-EU Parliamentary Committee,0,0,0
484,38463,124708,CHARANZOVA,Dita,woman,Czechia,8,2017.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Member,Delegation to the Cariforum-EU Parliamentary Committee,0,0,0
489,38468,124708,CHARANZOVA,Dita,woman,Czechia,8,2016.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Substitute,"Delegation to the EU-Armenia Parliamentary Partnership Committee, EU-Azerbaijan Parliamentary Cooperation Committee and the EU-Georgia Parliamentary Association Committee",0,0,0
490,38469,124708,CHARANZOVA,Dita,woman,Czechia,8,2016.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Substitute,Delegation to the EU-Chile Joint Parliamentary Committee,0,0,0
491,38470,124708,CHARANZOVA,Dita,woman,Czechia,8,2016.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Substitute,Delegation to the EU-Mexico Joint Parliamentary Committee,0,0,0
492,38471,124708,CHARANZOVA,Dita,woman,Czechia,8,2017.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Substitute,Delegation to the EU-Mexico Joint Parliamentary Committee,0,0,0
497,38476,124708,CHARANZOVA,Dita,woman,Czechia,8,2016.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Member,Delegation to the Euro-Latin American Parliamentary Assembly,0,0,0
498,38477,124708,CHARANZOVA,Dita,woman,Czechia,8,2017.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Member,Delegation to the Euro-Latin American Parliamentary Assembly,0,0,0
516,39020,96885,RIQUET,Dominique,man,France,8,2016.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Member,Committee of Inquiry into Emission Measurements in the Automotive Sector,0,0,0
517,39021,96885,RIQUET,Dominique,man,France,8,2017.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Member,Committee of Inquiry into Emission Measurements in the Automotive Sector,0,0,0
526,39030,96885,RIQUET,Dominique,man,France,8,2016.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Substitute,"Committee on Industry, Research and Energy",0,0,0
527,39031,96885,RIQUET,Dominique,man,France,8,2017.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Substitute,"Committee on Industry, Research and Energy",0,0,0
544,39048,96885,RIQUET,Dominique,man,France,8,2016.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Vice Chair,Committee on Transport and Tourism,0,0,0
545,39049,96885,RIQUET,Dominique,man,France,8,2017.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Vice Chair,Committee on Transport and Tourism,0,0,0
562,39066,96885,RIQUET,Dominique,man,France,8,2016.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Substitute,Delegation for relations with Japan,0,0,0
563,39067,96885,RIQUET,Dominique,man,France,8,2017.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Substitute,Delegation for relations with Japan,0,0,0
580,39084,96885,RIQUET,Dominique,man,France,8,2016.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Member,Delegation for relations with the People's Republic of China,0,0,0
581,39085,96885,RIQUET,Dominique,man,France,8,2017.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Member,Delegation for relations with the People's Republic of China,0,0,0
590,41851,124779,EVI,Eleonora,woman,Italy,8,2016.0,Europe of Freedom and Direct Democracy Group,Member,Member,Committee of Inquiry into Emission Measurements in the Automotive Sector,0,0,0
591,41852,124779,EVI,Eleonora,woman,Italy,8,2017.0,Europe of Freedom and Direct Democracy Group,Member,Member,Committee of Inquiry into Emission Measurements in the Automotive Sector,0,0,0
600,41861,124779,EVI,Eleonora,woman,Italy,8,2016.0,Europe of Freedom and Direct Democracy Group,Member,Member,Committee on Petitions,0,0,0
601,41862,124779,EVI,Eleonora,woman,Italy,8,2017.0,Europe of Freedom and Direct Democracy Group,Member,Member,Committee on Petitions,0,0,0
610,41871,124779,EVI,Eleonora,woman,Italy,8,2016.0,Europe of Freedom and Direct Democracy Group,Member,Member,"Committee on the Environment, Public Health and Food Safety",0,0,0
611,41872,124779,EVI,Eleonora,woman,Italy,8,2017.0,Europe of Freedom and Direct Democracy Group,Member,Member,"Committee on the Environment, Public Health and Food Safety",0,0,0
621,41882,124779,EVI,Eleonora,woman,Italy,8,2016.0,Europe of Freedom and Direct Democracy Group,Member,Member,Delegation for relations with the People's Republic of China,0,0,0
622,41883,124779,EVI,Eleonora,woman,Italy,8,2017.0,Europe of Freedom and Direct Democracy Group,Member,Member,Delegation for relations with the People's Republic of China,0,0,0
630,51362,108080,PROUST,Franck,man,France,8,2016.0,Group of the European People's Party (Christian Democrats),Member,Member,Committee of Inquiry into Emission Measurements in the Automotive Sector,0,0,0
631,51363,108080,PROUST,Franck,man,France,8,2017.0,Group of the European People's Party (Christian Democrats),Member,Member,Committee of Inquiry into Emission Measurements in the Automotive Sector,0,0,0
643,51375,108080,PROUST,Franck,man,France,8,2016.0,Group of the European People's Party (Christian Democrats),Member,Member,Committee on International Trade,0,0,0
644,51376,108080,PROUST,Franck,man,France,8,2017.0,Group of the European People's Party (Christian Democrats),Member,Member,Committee on International Trade,0,0,0
649,51381,108080,PROUST,Franck,man,France,8,2016.0,Group of the European People's Party (Christian Democrats),Member,Substitute,Committee on Transport and Tourism,0,0,0
650,51382,108080,PROUST,Franck,man,France,8,2017.0,Group of the European People's Party (Christian Democrats),Member,Substitute,Committee on Transport and Tourism,0,0,0
655,51387,108080,PROUST,Franck,man,France,8,2016.0,Group of the European People's Party (Christian Democrats),Member,Member,Delegation for relations with the countries of Southeast Asia and the Association of Southeast Asian Nations (ASEAN),0,0,0
656,51388,108080,PROUST,Franck,man,France,8,2017.0,Group of the European People's Party (Christian Democrats),Member,Member,Delegation for relations with the countries of Southeast Asia and the Association of Southeast Asian Nations (ASEAN),0,0,0
669,51401,108080,PROUST,Franck,man,France,8,2016.0,Group of the European People's Party (Christian Democrats),Member,Substitute,Delegation for relations with the United States,0,0,0
670,51402,108080,PROUST,Franck,man,France,8,2017.0,Group of the European People's Party (Christian Democrats),Member,Substitute,Delegation for relations with the United States,0,0,0
677,51949,2025,GROSSETETE,Francoise,woman,France,8,2016.0,Group of the European People's Party (Christian Democrats),Vice Chair,Member,Committee of Inquiry into Emission Measurements in the Automotive Sector,0,0,0
678,51950,2025,GROSSETETE,Francoise,woman,France,8,2017.0,Group of the European People's Party (Christian Democrats),Vice Chair,Member,Committee of Inquiry into Emission Measurements in the Automotive Sector,0,0,0
696,51968,2025,GROSSETETE,Francoise,woman,France,8,2016.0,Group of the European People's Party (Christian Democrats),Vice Chair,Substitute,"Committee on Industry, Research and Energy",0,0,0
697,51969,2025,GROSSETETE,Francoise,woman,France,8,2017.0,Group of the European People's Party (Christian Democrats),Vice Chair,Substitute,"Committee on Industry, Research and Energy",0,0,0
734,52006,2025,GROSSETETE,Francoise,woman,France,8,2016.0,Group of the European People's Party (Christian Democrats),Vice Chair,Member,"Committee on the Environment, Public Health and Food Safety",0,0,0
735,52007,2025,GROSSETETE,Francoise,woman,France,8,2017.0,Group of the European People's Party (Christian Democrats),Vice Chair,Member,"Committee on the Environment, Public Health and Food Safety",0,0,0
759,52031,2025,GROSSETETE,Francoise,woman,France,8,2016.0,Group of the European People's Party (Christian Democrats),Vice Chair,Substitute,Delegation for relations with Switzerland and Norway and to the EU-Iceland Joint Parliamentary Committee and the European Economic Area (EEA) Joint Parliamentary Committee,0,0,0
760,52032,2025,GROSSETETE,Francoise,woman,France,8,2017.0,Group of the European People's Party (Christian Democrats),Vice Chair,Substitute,Delegation for relations with Switzerland and Norway and to the EU-Iceland Joint Parliamentary Committee and the European Economic Area (EEA) Joint Parliamentary Committee,0,0,0
790,52062,2025,GROSSETETE,Francoise,woman,France,8,2016.0,Group of the European People's Party (Christian Democrats),Vice Chair,Member,Delegation to the EU-Russia Parliamentary Cooperation Committee,0,0,0
791,52063,2025,GROSSETETE,Francoise,woman,France,8,2017.0,Group of the European People's Party (Christian Democrats),Vice Chair,Member,Delegation to the EU-Russia Parliamentary Cooperation Committee,0,0,0
816,52899,124989,FEDERLEY,Fredrick,man,Sweden,8,2016.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Member,Committee of Inquiry into Emission Measurements in the Automotive Sector,0,0,0
817,52900,124989,FEDERLEY,Fredrick,man,Sweden,8,2017.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Member,Committee of Inquiry into Emission Measurements in the Automotive Sector,0,0,0
821,52904,124989,FEDERLEY,Fredrick,man,Sweden,8,2016.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Substitute,Committee on Agriculture and Rural Development,0,0,0
822,52905,124989,FEDERLEY,Fredrick,man,Sweden,8,2017.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Substitute,Committee on Agriculture and Rural Development,0,0,0
830,52913,124989,FEDERLEY,Fredrick,man,Sweden,8,2016.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Member,"Committee on Industry, Research and Energy",0,0,0
831,52914,124989,FEDERLEY,Fredrick,man,Sweden,8,2017.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Member,"Committee on Industry, Research and Energy",0,0,0
836,52919,124989,FEDERLEY,Fredrick,man,Sweden,8,2016.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Substitute,"Committee on the Environment, Public Health and Food Safety",0,0,0
837,52920,124989,FEDERLEY,Fredrick,man,Sweden,8,2017.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Substitute,"Committee on the Environment, Public Health and Food Safety",0,0,0
846,52929,124989,FEDERLEY,Fredrick,man,Sweden,8,2016.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Vice Chair,Delegation for relations with the Pan-African Parliament,0,0,0
847,52930,124989,FEDERLEY,Fredrick,man,Sweden,8,2017.0,Group of the Alliance of Liberals and Democrats for Europe,Member,Vice Chair,Delegation for relations with the Pan-African Parliament,0,0,0
852,54923,38511,MAYER,Georg,man,Austria,8,2016.0,Europe of Nations and Freedom Group,Member,Member,Committee of Inquiry into Emission Measurements in the Automotive Sector,0,0,0
853,54924,38511,MAYER,Georg,man,Austria,8,2017.0,Europe of Nations and Freedom Group,Member,Substitute,Committee on Constitutional Affairs,0,0,0
865,54936,38511,MAYER,Georg,man,Austria,8,2016.0,Europe of Nations and Freedom Group,Member,Substitute,Committee on International Trade,0,0,0
866,54937,38511,MAYER,Georg,man,Austria,8,2017.0,Europe of Nations and Freedom Group,Member,Substitute,Committee on International Trade,0,0,0
873,54944,38511,MAYER,Georg,man,Austria,8,2016.0,Europe of Nations and Freedom Group,Member,Member,Committee on Transport and Tourism,0,0,0
874,54945,38511,MAYER,Georg,man,Austria,8,2017.0,Europe of Nations and Freedom Group,Member,Member,Committee on Transport and Tourism,0,0,0
891,54962,38511,MAYER,Georg,man,Austria,8,2017.0,Europe of Nations and Freedom Group,Member,Substitute,Delegation for relations with Iran,0,0,0
